source,hour,existing_cost
Solar,399,25
Solar,400,25
Solar,401,25
Solar,402,25
Solar,403,25
Solar,404,25
Solar,405,25
Solar,406,25
Solar,407,25
Solar,408,25
Solar,409,25
Solar,410,25
Solar,411,25
Solar,412,25
Solar,413,25
Solar,414,25
Solar,415,25
Solar,416,25
Solar,417,25
Solar,418,25
Solar,419,25
Solar,420,25
Solar,421,25
Solar,422,25
Solar,423,25
Solar,424,25
Solar,425,25
Solar,426,25
Solar,427,25
Solar,428,25
Solar,429,25
Solar,430,25
Solar,431,25
Solar,432,25
Solar,433,25
Solar,434,25
Solar,435,25
Solar,436,25
Solar,437,25
Solar,438,25
Solar,439,25
Solar,440,25
Solar,441,25
Solar,442,25
Solar,443,25
Solar,444,25
Solar,445,25
Solar,446,25
Solar,447,25
Solar,448,25
Solar,449,25
Solar,450,25
Solar,451,25
Solar,452,25
Solar,453,25
Solar,454,25
Solar,455,25
Solar,456,25
Solar,457,25
Solar,458,25
Solar,459,25
Solar,460,25
Solar,461,25
Solar,462,25
Solar,463,25
Solar,464,25
Solar,465,25
Solar,466,25
Solar,467,25
Solar,468,25
Solar,469,25
Solar,470,25
Solar,471,25
Solar,472,25
Solar,473,25
Solar,474,25
Solar,475,25
Solar,476,25
Solar,477,25
Solar,478,25
Solar,479,25
Solar,480,25
Solar,481,25
Solar,482,25
Solar,483,25
Solar,484,25
Solar,485,25
Solar,486,25
Solar,487,25
Solar,488,25
Solar,489,25
Solar,490,25
Solar,491,25
Solar,492,25
Solar,493,25
Solar,494,25
Solar,495,25
Solar,496,25
Solar,497,25
Solar,498,25
Solar,499,25
Solar,500,25
Solar,501,25
Solar,502,25
Solar,503,25
Solar,504,25
Solar,505,25
Solar,506,25
Solar,507,25
Solar,508,25
Solar,509,25
Solar,510,25
Solar,511,25
Solar,512,25
Solar,513,25
Solar,514,25
Solar,515,25
Solar,516,25
Solar,517,25
Solar,518,25
Solar,519,25
Solar,520,25
Solar,521,25
Solar,522,25
Solar,523,25
Solar,524,25
Solar,525,25
Solar,526,25
Solar,527,25
Solar,528,25
Solar,529,25
Solar,530,25
Solar,531,25
Solar,532,25
Solar,533,25
Solar,534,25
Solar,535,25
Solar,536,25
Solar,537,25
Solar,538,25
Solar,539,25
Solar,540,25
Solar,541,25
Solar,542,25
Solar,543,25
Solar,544,25
Solar,545,25
Solar,546,25
Solar,547,25
Solar,548,25
Solar,549,25
Solar,550,25
Solar,551,25
Solar,552,25
Solar,553,25
Solar,554,25
Solar,555,25
Solar,556,25
Solar,557,25
Solar,558,25
Solar,559,25
Solar,560,25
Solar,561,25
Solar,562,25
Solar,563,25
Solar,564,25
Solar,565,25
Solar,566,25
Solar,567,25
Solar,568,25
Solar,569,25
Solar,570,25
Solar,571,25
Solar,572,25
Solar,573,25
Solar,574,25
Solar,575,25
Solar,576,25
Solar,577,25
Solar,578,25
Solar,579,25
Solar,580,25
Solar,581,25
Solar,582,25
Solar,583,25
Solar,584,25
Solar,585,25
Solar,586,25
Solar,587,25
Solar,588,25
Solar,589,25
Solar,590,25
Solar,591,25
Solar,592,25
Solar,593,25
Solar,594,25
Solar,595,25
Solar,596,25
Solar,597,25
Solar,598,25
Solar,599,25
Solar,600,25
Solar,601,25
Solar,602,25
Solar,603,25
Solar,604,25
Solar,605,25
Solar,606,25
Solar,607,25
Solar,608,25
Solar,609,25
Solar,610,25
Solar,611,25
Solar,612,25
Solar,613,25
Solar,614,25
Solar,615,25
Solar,616,25
Solar,617,25
Solar,618,25
Solar,619,25
Solar,620,25
Solar,621,25
Solar,622,25
Solar,623,25
Solar,624,25
Solar,625,25
Solar,626,25
Solar,627,25
Solar,628,25
Solar,629,25
Solar,630,25
Solar,631,25
Solar,632,25
Solar,633,25
Solar,634,25
Solar,635,25
Solar,636,25
Solar,637,25
Solar,638,25
Solar,639,25
Solar,640,25
Solar,641,25
Solar,642,25
Solar,643,25
Solar,644,25
Solar,645,25
Solar,646,25
Solar,647,25
Solar,648,25
Solar,649,25
Solar,650,25
Solar,651,25
Solar,652,25
Solar,653,25
Solar,654,25
Solar,655,25
Solar,656,25
Solar,657,25
Solar,658,25
Solar,659,25
Solar,660,25
Solar,661,25
Solar,662,25
Solar,663,25
Solar,664,25
Solar,665,25
Solar,666,25
Solar,667,25
Solar,668,25
Solar,669,25
Solar,670,25
Solar,671,25
Solar,672,25
Solar,673,25
Solar,674,25
Solar,675,25
Solar,676,25
Solar,677,25
Solar,678,25
Solar,679,25
Solar,680,25
Solar,681,25
Solar,682,25
Solar,683,25
Solar,684,25
Solar,685,25
Solar,686,25
Solar,687,25
Solar,688,25
Solar,689,25
Solar,690,25
Solar,691,25
Solar,692,25
Solar,693,25
Solar,694,25
Solar,695,25
Solar,696,25
Solar,697,25
Solar,698,25
Solar,699,25
Solar,700,25
Solar,701,25
Solar,702,25
Solar,703,25
Solar,704,25
Solar,705,25
Solar,706,25
Solar,707,25
Solar,708,25
Solar,709,25
Solar,710,25
Solar,711,25
Solar,712,25
Solar,713,25
Solar,714,25
Solar,715,25
Solar,716,25
Solar,717,25
Solar,718,25
Solar,719,25
Solar,720,25
Solar,721,25
Solar,722,25
Solar,723,25
Solar,724,25
Solar,725,25
Solar,726,25
Solar,727,25
Solar,728,25
Solar,729,25
Solar,730,25
Solar,731,25
Solar,732,25
Solar,733,25
Solar,734,25
Solar,735,25
Solar,736,25
Solar,737,25
Solar,738,25
Solar,739,25
