source,hour,added_capacity
Solar,319,999999999
Solar,320,999999999
Solar,321,999999999
Solar,322,999999999
Solar,323,999999999
Solar,324,999999999
Solar,325,999999999
Solar,326,999999999
Solar,327,999999999
Solar,328,999999999
Solar,329,999999999
Solar,330,999999999
Solar,331,999999999
Solar,332,999999999
Solar,333,999999999
Solar,334,999999999
Solar,335,999999999
Solar,336,999999999
Solar,337,999999999
Solar,338,999999999
Solar,339,999999999
Solar,340,999999999
Solar,341,999999999
Solar,342,999999999
Solar,343,999999999
Solar,344,999999999
Solar,345,999999999
Solar,346,999999999
Solar,347,999999999
Solar,348,999999999
Solar,349,999999999
Solar,350,999999999
Solar,351,999999999
Solar,352,999999999
Solar,353,999999999
Solar,354,999999999
Solar,355,999999999
Solar,356,999999999
Solar,357,999999999
Solar,358,999999999
Solar,359,999999999
Solar,360,999999999
Solar,361,999999999
Solar,362,999999999
Solar,363,999999999
Solar,364,999999999
Solar,365,999999999
Solar,366,999999999
Solar,367,999999999
Solar,368,999999999
Solar,369,999999999
Solar,370,999999999
Solar,371,999999999
Solar,372,999999999
Solar,373,999999999
Solar,374,999999999
Solar,375,999999999
Solar,376,999999999
Solar,377,999999999
Solar,378,999999999
Solar,379,999999999
Solar,380,999999999
Solar,381,999999999
Solar,382,999999999
Solar,383,999999999
Solar,384,999999999
Solar,385,999999999
Solar,386,999999999
Solar,387,999999999
Solar,388,999999999
Solar,389,999999999
Solar,390,999999999
Solar,391,999999999
Solar,392,999999999
Solar,393,999999999
Solar,394,999999999
Solar,395,999999999
Solar,396,999999999
Solar,397,999999999
Solar,398,999999999
Solar,399,999999999
Solar,400,999999999
Solar,401,999999999
Solar,402,999999999
Solar,403,999999999
Solar,404,999999999
Solar,405,999999999
Solar,406,999999999
Solar,407,999999999
Solar,408,999999999
Solar,409,999999999
Solar,410,999999999
Solar,411,999999999
Solar,412,999999999
Solar,413,999999999
Solar,414,999999999
Solar,415,999999999
Solar,416,999999999
Solar,417,999999999
Solar,418,999999999
Solar,419,999999999
Solar,420,999999999
Solar,421,999999999
Solar,422,999999999
Solar,423,999999999
Solar,424,999999999
Solar,425,999999999
Solar,426,999999999
Solar,427,999999999
Solar,428,999999999
Solar,429,999999999
Solar,430,999999999
Solar,431,999999999
Solar,432,999999999
Solar,433,999999999
Solar,434,999999999
Solar,435,999999999
Solar,436,999999999
Solar,437,999999999
Solar,438,999999999
Solar,439,999999999
Solar,440,999999999
Solar,441,999999999
Solar,442,999999999
Solar,443,999999999
Solar,444,999999999
Solar,445,999999999
Solar,446,999999999
Solar,447,999999999
Solar,448,999999999
Solar,449,999999999
Solar,450,999999999
Solar,451,999999999
Solar,452,999999999
Solar,453,999999999
Solar,454,999999999
Solar,455,999999999
Solar,456,999999999
Solar,457,999999999
Solar,458,999999999
Solar,459,999999999
Solar,460,999999999
Solar,461,999999999
Solar,462,999999999
Solar,463,999999999
Solar,464,999999999
Solar,465,999999999
Solar,466,999999999
Solar,467,999999999
Solar,468,999999999
Solar,469,999999999
Solar,470,999999999
Solar,471,999999999
Solar,472,999999999
Solar,473,999999999
Solar,474,999999999
Solar,475,999999999
Solar,476,999999999
Solar,477,999999999
Solar,478,999999999
Solar,479,999999999
Solar,480,999999999
Solar,481,999999999
Solar,482,999999999
Solar,483,999999999
Solar,484,999999999
Solar,485,999999999
Solar,486,999999999
Solar,487,999999999
Solar,488,999999999
Solar,489,999999999
Solar,490,999999999
Solar,491,999999999
Solar,492,999999999
Solar,493,999999999
Solar,494,999999999
Solar,495,999999999
Solar,496,999999999
Solar,497,999999999
Solar,498,999999999
Solar,499,999999999
Solar,500,999999999
Solar,501,999999999
Solar,502,999999999
Solar,503,999999999
Solar,504,999999999
Solar,505,999999999
Solar,506,999999999
Solar,507,999999999
Solar,508,999999999
Solar,509,999999999
Solar,510,999999999
Solar,511,999999999
Solar,512,999999999
Solar,513,999999999
Solar,514,999999999
Solar,515,999999999
Solar,516,999999999
Solar,517,999999999
Solar,518,999999999
Solar,519,999999999
Solar,520,999999999
Solar,521,999999999
Solar,522,999999999
Solar,523,999999999
Solar,524,999999999
Solar,525,999999999
Solar,526,999999999
Solar,527,999999999
Solar,528,999999999
Solar,529,999999999
Solar,530,999999999
Solar,531,999999999
Solar,532,999999999
Solar,533,999999999
Solar,534,999999999
Solar,535,999999999
Solar,536,999999999
Solar,537,999999999
Solar,538,999999999
Solar,539,999999999
Solar,540,999999999
Solar,541,999999999
Solar,542,999999999
Solar,543,999999999
Solar,544,999999999
Solar,545,999999999
Solar,546,999999999
Solar,547,999999999
Solar,548,999999999
Solar,549,999999999
Solar,550,999999999
Solar,551,999999999
Solar,552,999999999
Solar,553,999999999
Solar,554,999999999
Solar,555,999999999
Solar,556,999999999
Solar,557,999999999
Solar,558,999999999
Solar,559,999999999
Solar,560,999999999
Solar,561,999999999
Solar,562,999999999
Solar,563,999999999
Solar,564,999999999
Solar,565,999999999
Solar,566,999999999
Solar,567,999999999
Solar,568,999999999
Solar,569,999999999
Solar,570,999999999
Solar,571,999999999
Solar,572,999999999
Solar,573,999999999
Solar,574,999999999
Solar,575,999999999
Solar,576,999999999
Solar,577,999999999
Solar,578,999999999
Solar,579,999999999
Solar,580,999999999
Solar,581,999999999
Solar,582,999999999
Solar,583,999999999
Solar,584,999999999
Solar,585,999999999
Solar,586,999999999
Solar,587,999999999
Solar,588,999999999
Solar,589,999999999
Solar,590,999999999
Solar,591,999999999
Solar,592,999999999
Solar,593,999999999
Solar,594,999999999
Solar,595,999999999
Solar,596,999999999
Solar,597,999999999
Solar,598,999999999
Solar,599,999999999
Solar,600,999999999
Solar,601,999999999
Solar,602,999999999
Solar,603,999999999
Solar,604,999999999
Solar,605,999999999
Solar,606,999999999
Solar,607,999999999
Solar,608,999999999
Solar,609,999999999
Solar,610,999999999
Solar,611,999999999
Solar,612,999999999
Solar,613,999999999
Solar,614,999999999
Solar,615,999999999
Solar,616,999999999
Solar,617,999999999
Solar,618,999999999
Solar,619,999999999
Solar,620,999999999
Solar,621,999999999
Solar,622,999999999
Solar,623,999999999
Solar,624,999999999
Solar,625,999999999
Solar,626,999999999
Solar,627,999999999
Solar,628,999999999
Solar,629,999999999
Solar,630,999999999
Solar,631,999999999
Solar,632,999999999
Solar,633,999999999
Solar,634,999999999
Solar,635,999999999
Solar,636,999999999
Solar,637,999999999
Solar,638,999999999
Solar,639,999999999
Solar,640,999999999
Solar,641,999999999
Solar,642,999999999
Solar,643,999999999
Solar,644,999999999
Solar,645,999999999
Solar,646,999999999
Solar,647,999999999
Solar,648,999999999
Solar,649,999999999
Solar,650,999999999
Solar,651,999999999
Solar,652,999999999
Solar,653,999999999
Solar,654,999999999
Solar,655,999999999
Solar,656,999999999
Solar,657,999999999
Solar,658,999999999
Solar,659,999999999
Solar,660,999999999
Solar,661,999999999
Solar,662,999999999
Solar,663,999999999
Solar,664,999999999
Solar,665,999999999
Solar,666,999999999
Solar,667,999999999
Solar,668,999999999
Solar,669,999999999
Solar,670,999999999
Solar,671,999999999
Solar,672,999999999
Solar,673,999999999
Solar,674,999999999
Solar,675,999999999
Solar,676,999999999
Solar,677,999999999
Solar,678,999999999
Solar,679,999999999
Solar,680,999999999
Solar,681,999999999
Solar,682,999999999
Solar,683,999999999
Solar,684,999999999
Solar,685,999999999
Solar,686,999999999
Solar,687,999999999
Solar,688,999999999
Solar,689,999999999
Solar,690,999999999
Solar,691,999999999
Solar,692,999999999
Solar,693,999999999
Solar,694,999999999
Solar,695,999999999
Solar,696,999999999
Solar,697,999999999
Solar,698,999999999
Solar,699,999999999
Solar,700,999999999
Solar,701,999999999
Solar,702,999999999
Solar,703,999999999
Solar,704,999999999
Solar,705,999999999
Solar,706,999999999
Solar,707,999999999
Solar,708,999999999
Solar,709,999999999
Solar,710,999999999
Solar,711,999999999
Solar,712,999999999
Solar,713,999999999
Solar,714,999999999
Solar,715,999999999
Solar,716,999999999
Solar,717,999999999
Solar,718,999999999
Solar,719,999999999
Solar,720,999999999
Solar,721,999999999
Solar,722,999999999
Solar,723,999999999
Solar,724,999999999
Solar,725,999999999
Solar,726,999999999
Solar,727,999999999
Solar,728,999999999
Solar,729,999999999
Solar,730,999999999
Solar,731,999999999
Solar,732,999999999
Solar,733,999999999
Solar,734,999999999
Solar,735,999999999
Solar,736,999999999
Solar,737,999999999
Solar,738,999999999
Solar,739,999999999
Solar,740,999999999
Solar,741,999999999
Solar,742,999999999
Solar,743,999999999
Solar,744,999999999
Solar,745,999999999
Solar,746,999999999
Solar,747,999999999
Solar,748,999999999
Solar,749,999999999
Solar,750,999999999
Solar,751,999999999
Solar,752,999999999
Solar,753,999999999
Solar,754,999999999
Solar,755,999999999
Solar,756,999999999
Solar,757,999999999
Solar,758,999999999
Solar,759,999999999
Solar,760,999999999
Solar,761,999999999
Solar,762,999999999
Solar,763,999999999
Solar,764,999999999
Solar,765,999999999
Solar,766,999999999
Solar,767,999999999
Solar,768,999999999
Solar,769,999999999
Solar,770,999999999
Solar,771,999999999
Solar,772,999999999
Solar,773,999999999
Solar,774,999999999
Solar,775,999999999
Solar,776,999999999
Solar,777,999999999
Solar,778,999999999
Solar,779,999999999
Solar,780,999999999
Solar,781,999999999
Solar,782,999999999
Solar,783,999999999
Solar,784,999999999
Solar,785,999999999
Solar,786,999999999
Solar,787,999999999
Solar,788,999999999
Solar,789,999999999
Solar,790,999999999
Solar,791,999999999
Solar,792,999999999
Solar,793,999999999
Solar,794,999999999
Solar,795,999999999
Solar,796,999999999
Solar,797,999999999
Solar,798,999999999
Solar,799,999999999
Solar,800,999999999
Solar,801,999999999
Solar,802,999999999
Solar,803,999999999
Solar,804,999999999
Solar,805,999999999
Solar,806,999999999
Solar,807,999999999
Solar,808,999999999
Solar,809,999999999
Solar,810,999999999
Solar,811,999999999
Solar,812,999999999
Solar,813,999999999
Solar,814,999999999
Solar,815,999999999
Solar,816,999999999
Solar,817,999999999
Solar,818,999999999
Solar,819,999999999
Solar,820,999999999
Solar,821,999999999
Solar,822,999999999
Solar,823,999999999
